City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,fairbanks,64.8378,-147.7164,-25.22,76,99,0.97,US,1669748172
190,viloco,-16.95,-67.55,14.06,40,94,6.25,BO,1669748172
191,talovaya,51.1144,40.73,-4.38,58,23,4.59,RU,1669748173
192,port hardy,50.6996,-127.4199,0.1,93,100,14.4,CA,1669748174
193,cauquenes,-35.9671,-72.3225,28.68,19,98,5.96,CL,1669748175
194,lancut,50.0687,22.2291,1.42,87,100,5.66,PL,1669747684
195,baft,29.234,56.6057,9.64,34,100,1.29,IR,1669748175
196,korla,41.7597,86.1469,-9.14,31,0,2.57,CN,1669748176
197,tucuman,-26.8241,-65.2226,35.0,28,75,1.54,AR,1669748177
198,port-cartier,50.0334,-66.8654,-4.88,73,80,3.6,CA,1669748177
199,ilheus,-14.7889,-39.0494,27.9,83,75,3.6,BR,1669748178
200,murgab,37.4966,61.9714,7.93,81,0,2.06,TM,1669748178
201,osorno,-40.5667,-73.15,17.36,82,100,3.6,CL,1669748179
202,aklavik,68.2191,-135.0107,-31.0,69,75,2.06,CA,1669748180
203,kodiak,57.79,-152.4072,-3.0,68,1,5.17,US,1669748179
204,solnechnyy,50.7214,136.6319,-14.99,95,100,0.66,RU,1669748180
205,kimberley,-28.7323,24.7623,22.83,60,75,4.12,ZA,1669748181
206,urumqi,43.801,87.6005,-20.47,65,0,2.0,CN,1669748182
207,marrakesh,31.6315,-8.0083,21.04,28,0,1.54,MA,1669748106
208,yumen,40.2833,97.2,-17.39,78,100,3.37,CN,1669748183
209,coronado,32.6859,-117.1831,18.4,76,75,4.63,US,1669748183
210,ilulissat,69.2167,-51.1,-11.71,78,25,2.38,GL,1669748184
211,nagato,34.3833,131.2,12.74,72,100,10.24,JP,1669748185
212,jefferson city,38.5767,-92.1735,19.8,63,96,8.53,US,1669748185
213,hofn,64.2539,-15.2082,4.88,87,100,4.44,IS,1669748186
214,north bend,43.4065,-124.2243,6.76,100,91,3.91,US,1669748186
215,provideniya,64.3833,-173.3,-1.69,99,100,2.15,RU,1669748187
216,doha,25.2867,51.5333,24.94,69,0,2.06,QA,1669747942
217,tomatlan,19.9333,-105.25,31.25,42,20,2.81,MX,1669748188
218,georgetown,5.4112,100.3354,26.8,91,20,1.54,MY,1669748118
219,syracuse,37.0881,15.2792,13.65,85,100,8.9,IT,1669748189
220,henties bay,-22.116,14.2845,15.81,80,56,3.41,NA,1669748190
221,bathsheba,13.2167,-59.5167,26.34,78,75,5.14,BB,1669747952
222,athabasca,54.7169,-113.2854,-16.77,85,100,4.32,CA,1669748190
223,durban,-29.8579,31.0292,22.79,74,19,1.79,ZA,1669747895
224,teruel,40.6667,-0.6667,2.54,82,94,6.47,ES,1669748191
225,itaqui,-29.1253,-56.5531,36.39,22,0,4.01,BR,1669748184
226,tulagi,-9.0996,160.1476,27.54,74,100,1.82,SB,1669748193
227,izazi,-7.2,35.7333,26.11,44,100,2.36,TZ,1669748193
228,araouane,18.9048,-3.5265,23.59,15,100,3.71,ML,1669748194
229,bubaque,11.2833,-15.8333,27.28,59,100,4.1,GW,1669748195
230,ekibastuz,51.6667,75.3667,-19.67,76,100,5.6,KZ,1669748196
231,atar,20.5169,-13.0499,23.66,15,0,4.33,MR,1669748197
232,praia da vitoria,38.7333,-27.0667,19.14,77,20,3.51,PT,1669748198
233,santa vitoria do palmar,-33.5189,-53.3681,24.75,57,1,6.09,BR,1669748198
234,los llanos de aridane,28.6585,-17.9182,18.86,79,75,5.14,ES,1669748199
235,sola,-13.8833,167.55,24.37,94,40,0.0,VU,1669748199
236,lorengau,-2.0226,147.2712,27.49,74,30,3.01,PG,1669748200
237,laramie,41.3114,-105.5911,-8.36,81,100,2.41,US,1669748129
238,srednekolymsk,67.45,153.6833,-26.32,97,100,5.23,RU,1669748201
239,bom jesus,-9.0744,-44.3586,21.53,98,100,1.18,BR,1669748201
240,tabou,4.423,-7.3528,25.65,83,16,1.99,CI,1669748202
241,harper,4.375,-7.7169,25.74,82,7,1.8,LR,1669748202
242,sulangan,11.1373,123.7228,28.08,78,93,5.95,PH,1669748203
243,paciran,-6.8767,112.3761,25.28,87,100,5.62,ID,1669748203
244,thompson,55.7435,-97.8558,-14.91,78,100,9.77,CA,1669748204
245,nha trang,12.25,109.1833,26.0,87,46,2.71,VN,1669748204
246,cherskiy,68.75,161.3,-21.25,96,100,5.67,RU,1669748205
247,shimizu,43.0061,142.8847,3.5,87,87,6.32,JP,1669748205
248,anadyr,64.75,177.4833,1.28,80,0,9.0,RU,1669748206
249,fallon,39.4735,-118.7774,4.95,49,4,1.0,US,1669748206
250,severo-kurilsk,50.6789,156.125,1.64,97,100,10.74,RU,1669748207
251,waiuku,-37.25,174.75,18.81,90,97,4.6,NZ,1669748208
252,krasnyy chikoy,50.3643,108.7512,-17.81,89,100,6.71,RU,1669748209
253,anahuac,27.2333,-100.15,28.24,27,1,0.99,MX,1669748209
254,olafsvik,64.8945,-23.7142,5.39,86,100,10.23,IS,1669748210
255,east london,-33.0153,27.9116,21.52,83,0,5.66,ZA,1669748211
256,luwingu,-10.2621,29.9271,17.35,98,100,0.57,ZM,1669748211
257,teguldet,57.3064,88.1667,-23.83,98,100,1.74,RU,1669748212
258,semnan,35.5729,53.3971,9.69,54,100,0.96,IR,1669748212
259,hillsboro,45.5229,-122.9898,4.58,87,100,2.93,US,1669748190
260,karoi,-16.8099,29.6925,17.49,90,64,1.9,ZW,1669748213
261,portobelo,9.55,-79.65,26.69,85,100,1.28,PA,1669748214
262,lasa,46.6166,10.7002,0.57,95,100,1.65,IT,1669748214
263,sovetskiy,61.3614,63.5842,-13.33,97,96,0.34,RU,1669748215
264,maldonado,-34.6667,-54.9167,30.66,32,45,5.04,UY,1669748066
265,lompoc,34.6391,-120.4579,17.66,61,3,1.34,US,1669748216
266,porto walter,-8.2686,-72.7439,37.59,25,34,2.11,BR,1669748216
267,tsabong,-26.0217,22.401,29.71,25,15,8.83,BW,1669748217
268,aquiles serdan,17.7833,-92.2833,30.45,71,84,4.64,MX,1669748217
269,juneau,58.3019,-134.4197,-5.44,100,20,5.27,US,1669748218
